index,Unnamed: 1_level_0_Unnamed: 1_level_1,Unnamed: 2_level_0_Unnamed: 2_level_1,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_Unnamed: 5_level_1,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Unnamed: 7_level_1,Unnamed: 8_level_0_Unnamed: 8_level_1
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,29.5,3,53.1,3
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,154.5,13.1,237.48,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,237.48,0
,,,0M,Carry Over from Previous Round,,,,
,1,401B,3M,Inward Dive Pike,37.5,2,45,3
,,401B,3M,Inward Dive Pike,,,,
,2,301B,3M,Reverse Dive Pike,33.5,2,40.2,3
,,301B,3M,Reverse Dive Pike,,,,
,3,107B,3M,Forward 3 1/2 Somersault Pike,28.5,3.1,53.01,3
,,107B,3M,Forward 3 1/2 Somersault Pike,,,,
,4,205B,3M,Back 2 1/2 Somersault Pike,35.5,3,63.9,1
,,205B,3M,Back 2 1/2 Somersault Pike,,,,
,5,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,37,3,66.6,2
,,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,,,,
,Totals,,,,172,13.1,506.19,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,21,2.4,50.4,4
,2,105B,1M,Forward 2 1/2 Somersault Pike,21,2.6,54.6,1
,3,203B,1M,Back 1 1/2 Somersault Pike,16,2.3,36.8,11
,4,303B,1M,Reverse 1 1/2 Somersault Pike,22,2.4,52.8,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,20,2.6,52,1
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21,2.6,54.6,1
,Totals,,,,121,14.9,301.2,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,0,,0M,Carry Over from Previous Round,0,0,301.2,0
,1,403B,1M,Inward 1 1/2 Somersault Pike,22,2.4,52.8,2
,2,105B,1M,Forward 2 1/2 Somersault Pike,19.5,2.6,50.7,1
,3,203B,1M,Back 1 1/2 Somersault Pike,19.5,2.3,44.85,6
,4,303B,1M,Reverse 1 1/2 Somersault Pike,19.5,2.4,46.8,3
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,22.5,2.6,58.5,1
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,20.5,2.6,53.3,1
,Totals,,,,123.5,14.9,608.15,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,403B,1M,Inward 1 1/2 Somersault Pike,20.25,2.4,48.6,3
,2,105B,1M,Forward 2 1/2 Somersault Pike,20.25,2.6,52.65,2
,3,203B,1M,Back 1 1/2 Somersault Pike,21,2.3,48.3,3
,4,303B,1M,Reverse 1 1/2 Somersault Pike,21.75,2.4,52.2,1
,5,5333D,1M,Reverse 1 1/2 Somersault 1 1/2 Twist Free,18,2.6,46.8,2
,6,5134D,1M,Forward 1 1/2 Somersault 2 Twist Free,21,2.6,54.6,1
,Totals,,,,122.25,14.9,303.15,
,Dive,Number,Height,Description,Net,DD,Score,Round
,,,,,Score,,,Place
,1,5152B,3M,Forward 2 1/2 Somersault 1 Twist Pike,21,3,63,1
